short_id,original_unique_id,dataset,sub_manuscript_id,layout
000001,6962_0042,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,simple
000002,6962_0018,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000003,6962_0031,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000004,6962_0008,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000005,6962_0005,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000006,6962_0001,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000007,6962_0030,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000008,6962_0016,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000009,6962_0038,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000010,6962_0024,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,simple
000011,6962_0034,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000012,6962_0041,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,simple
000013,6962_0017,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000014,6962_0029,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000015,6962_0003,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,simple
000016,6962_0012,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000017,6962_0014,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000018,6962_0010,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000019,6962_0025,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000020,6962_0026,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000021,6962_0028,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000022,6962_0036,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,simple
000023,6962_0020,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,simple
000024,6962_0004,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000025,6962_0002,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,simple
000026,6962_0019,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000027,6962_0011,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000028,6962_0037,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000029,6962_0023,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000030,6962_0009,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000031,6962_0007,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000032,6962_0022,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000033,6962_0006,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,simple
000034,6962_0032,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,simple
000035,6962_0033,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000036,6962_0035,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,simple
000037,6962_0027,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000038,6962_0040,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,simple
000039,6962_0021,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000040,6962_0015,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000041,6962_0039,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,simple
000042,6962_0013,sanskrit-manuscripts,vagbhatalamkara-vyakhya1,complex
000043,1066_0004,sanskrit-manuscripts,tarkasangrahah-sateekah2,simple
000044,1066_0028,sanskrit-manuscripts,tarkasangrahah-sateekah2,simple
000045,1066_0030,sanskrit-manuscripts,tarkasangrahah-sateekah2,complex
000046,1066_0027,sanskrit-manuscripts,tarkasangrahah-sateekah2,simple
000047,1066_0002,sanskrit-manuscripts,tarkasangrahah-sateekah2,simple
000048,1066_0005,sanskrit-manuscripts,tarkasangrahah-sateekah2,simple
000049,1066_0013,sanskrit-manuscripts,tarkasangrahah-sateekah2,simple
000050,1066_0029,sanskrit-manuscripts,tarkasangrahah-sateekah2,simple
000051,1066_0015,sanskrit-manuscripts,tarkasangrahah-sateekah2,complex
000052,1066_0025,sanskrit-manuscripts,tarkasangrahah-sateekah2,complex
000053,1066_0010,sanskrit-manuscripts,tarkasangrahah-sateekah2,simple
000054,1066_0001,sanskrit-manuscripts,tarkasangrahah-sateekah2,complex
000055,1066_0032,sanskrit-manuscripts,tarkasangrahah-sateekah2,simple
000056,1066_0021,sanskrit-manuscripts,tarkasangrahah-sateekah2,simple
000057,1066_0011,sanskrit-manuscripts,tarkasangrahah-sateekah2,complex
