original_unique_id,sub_manuscript_id,layout
6962_0042,vagbhatalamkara-vyakhya1,simple
6962_0018,vagbhatalamkara-vyakhya1,complex
6962_0031,vagbhatalamkara-vyakhya1,complex
6962_0008,vagbhatalamkara-vyakhya1,complex
6962_0005,vagbhatalamkara-vyakhya1,complex
6962_0001,vagbhatalamkara-vyakhya1,complex
6962_0030,vagbhatalamkara-vyakhya1,complex
6962_0016,vagbhatalamkara-vyakhya1,complex
6962_0038,vagbhatalamkara-vyakhya1,complex
6962_0024,vagbhatalamkara-vyakhya1,simple
6962_0034,vagbhatalamkara-vyakhya1,complex
6962_0041,vagbhatalamkara-vyakhya1,simple
6962_0017,vagbhatalamkara-vyakhya1,complex
6962_0029,vagbhatalamkara-vyakhya1,complex
6962_0003,vagbhatalamkara-vyakhya1,simple
6962_0012,vagbhatalamkara-vyakhya1,complex
6962_0014,vagbhatalamkara-vyakhya1,complex
6962_0010,vagbhatalamkara-vyakhya1,complex
6962_0025,vagbhatalamkara-vyakhya1,complex
6962_0026,vagbhatalamkara-vyakhya1,complex
6962_0028,vagbhatalamkara-vyakhya1,complex
6962_0036,vagbhatalamkara-vyakhya1,simple
6962_0020,vagbhatalamkara-vyakhya1,simple
6962_0004,vagbhatalamkara-vyakhya1,complex
6962_0002,vagbhatalamkara-vyakhya1,simple
6962_0019,vagbhatalamkara-vyakhya1,complex
6962_0011,vagbhatalamkara-vyakhya1,complex
6962_0037,vagbhatalamkara-vyakhya1,complex
6962_0023,vagbhatalamkara-vyakhya1,complex
6962_0009,vagbhatalamkara-vyakhya1,complex
6962_0007,vagbhatalamkara-vyakhya1,complex
6962_0022,vagbhatalamkara-vyakhya1,complex
6962_0006,vagbhatalamkara-vyakhya1,simple
6962_0032,vagbhatalamkara-vyakhya1,simple
6962_0033,vagbhatalamkara-vyakhya1,complex
6962_0035,vagbhatalamkara-vyakhya1,simple
6962_0027,vagbhatalamkara-vyakhya1,complex
6962_0040,vagbhatalamkara-vyakhya1,simple
6962_0021,vagbhatalamkara-vyakhya1,complex
