manuscript_id,page_id,image_width,image_height,region_count,text_line_count,node_count,edge_count,graph_component_count,cycle_edge_count,text_chars_nfc,line_kinds
moderate_layout,233_0002,2500,940,18,25,414,389,25,0,819,"{""horizontal_straight"": 19, ""point"": 6}"
moderate_layout,233_0003,2500,932,16,23,396,373,23,0,819,"{""horizontal_straight"": 22, ""point"": 1}"
moderate_layout,233_0004,2500,932,6,12,300,288,12,0,631,"{""horizontal_straight"": 11, ""point"": 1}"
moderate_layout,233_0005,2500,967,9,15,321,306,15,0,673,"{""horizontal_straight"": 11, ""point"": 4}"
moderate_layout,233_0006,2500,950,16,23,391,368,23,0,785,"{""horizontal_straight"": 19, ""point"": 4}"
moderate_layout,233_0007,2500,950,10,17,319,302,17,0,668,"{""horizontal_straight"": 14, ""point"": 3}"
moderate_layout,233_0008,2500,949,13,20,412,392,20,0,824,"{""horizontal_straight"": 17, ""point"": 3}"
moderate_layout,233_0009,2500,928,12,19,432,413,19,0,871,"{""horizontal_straight"": 17, ""point"": 2}"
moderate_layout,233_0010,2500,928,14,21,385,364,21,0,792,"{""horizontal_straight"": 20, ""point"": 1}"
moderate_layout,233_0011,2500,928,11,18,404,386,18,0,822,"{""curved_open"": 1, ""horizontal_straight"": 16, ""point"": 1}"
moderate_layout,233_0012,2500,926,13,24,432,408,24,0,937,"{""curved_open"": 1, ""horizontal_straight"": 23}"
moderate_layout,233_0013,2500,926,12,23,544,521,23,0,1207,"{""horizontal_straight"": 21, ""point"": 2}"
moderate_layout,233_0014,2500,912,17,28,444,416,28,0,965,"{""horizontal_straight"": 27, ""point"": 1}"
moderate_layout,233_0015,2500,921,12,21,418,397,21,0,838,"{""horizontal_straight"": 19, ""point"": 2}"
moderate_layout,233_0016,2500,935,16,27,403,376,27,0,844,"{""horizontal_straight"": 26, ""point"": 1}"
