short_id,original_unique_id,dataset,layout
000001,6962_0030,vagbhatalamkara-vyakhya1,complex
000002,6962_0006,vagbhatalamkara-vyakhya1,simple
000003,6962_0025,vagbhatalamkara-vyakhya1,complex
000004,6962_0009,vagbhatalamkara-vyakhya1,complex
000005,6962_0002,vagbhatalamkara-vyakhya1,simple
000006,6962_0012,vagbhatalamkara-vyakhya1,complex
000007,6962_0037,vagbhatalamkara-vyakhya1,complex
000008,6962_0003,vagbhatalamkara-vyakhya1,simple
000009,6962_0018,vagbhatalamkara-vyakhya1,complex
000010,6962_0023,vagbhatalamkara-vyakhya1,complex
000011,6962_0026,vagbhatalamkara-vyakhya1,complex
000012,6962_0010,vagbhatalamkara-vyakhya1,complex
000013,6962_0035,vagbhatalamkara-vyakhya1,simple
000014,6962_0033,vagbhatalamkara-vyakhya1,complex
000015,6962_0028,vagbhatalamkara-vyakhya1,complex
000016,6962_0008,vagbhatalamkara-vyakhya1,complex
000017,6962_0005,vagbhatalamkara-vyakhya1,complex
000018,6962_0036,vagbhatalamkara-vyakhya1,simple
000019,6962_0020,vagbhatalamkara-vyakhya1,simple
000020,6962_0031,vagbhatalamkara-vyakhya1,complex
000021,6962_0011,vagbhatalamkara-vyakhya1,complex
000022,6962_0041,vagbhatalamkara-vyakhya1,simple
000023,6962_0017,vagbhatalamkara-vyakhya1,complex
000024,6962_0001,vagbhatalamkara-vyakhya1,complex
000025,6962_0014,vagbhatalamkara-vyakhya1,complex
000026,6962_0024,vagbhatalamkara-vyakhya1,simple
000027,6962_0034,vagbhatalamkara-vyakhya1,complex
000028,6962_0004,vagbhatalamkara-vyakhya1,complex
000029,6962_0015,vagbhatalamkara-vyakhya1,complex
000030,6962_0042,vagbhatalamkara-vyakhya1,simple
000031,6962_0032,vagbhatalamkara-vyakhya1,simple
000032,6962_0021,vagbhatalamkara-vyakhya1,complex
000033,6962_0039,vagbhatalamkara-vyakhya1,simple
000034,6962_0019,vagbhatalamkara-vyakhya1,complex
000035,6962_0022,vagbhatalamkara-vyakhya1,complex
000036,6962_0013,vagbhatalamkara-vyakhya1,complex
000037,6962_0016,vagbhatalamkara-vyakhya1,complex
000038,6962_0038,vagbhatalamkara-vyakhya1,complex
000039,6962_0029,vagbhatalamkara-vyakhya1,complex
000040,6962_0040,vagbhatalamkara-vyakhya1,simple
000041,6962_0007,vagbhatalamkara-vyakhya1,complex
000042,6962_0027,vagbhatalamkara-vyakhya1,complex
000043,1066_0030,tarkasangrahah-sateekah2,complex
000044,1066_0019,tarkasangrahah-sateekah2,complex
000045,1066_0015,tarkasangrahah-sateekah2,complex
000046,1066_0023,tarkasangrahah-sateekah2,simple
000047,1066_0011,tarkasangrahah-sateekah2,complex
000048,1066_0007,tarkasangrahah-sateekah2,simple
000049,1066_0017,tarkasangrahah-sateekah2,simple
000050,1066_0033,tarkasangrahah-sateekah2,simple
000051,1066_0032,tarkasangrahah-sateekah2,simple
